paper_id,doi,title,year,venue,topic_bucket,citation_count,priority_score,reasons,url
doi:10.3390/s25237118,10.3390/s25237118,UAV and Deep Learning for Automated Detection and Visualization of Façade Defects in Existing Residential Buildings.,2025,"Sensors (Basel, Switzerland)",thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1002/alz70863_110590,10.1002/alz70863_110590,Indoor Physical Environmental Quality Is Associated with Agitation in Older Adults Living with Cognitive Impairment.,2025,Alzheimer's & Dementia,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.1038/s41598-025-27739-7,10.1038/s41598-025-27739-7,Detection of cortical arousals in sleep using multimodal wearable sensors and machine learning.,2025,Scientific reports,cognition,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1002/adma.202521622,10.1002/adma.202521622,Low-Energy Consumed Switchable Windows with Ultralong Optical Memory via Semiconductor-Enabled Reversible Zinc Electrodeposition.,2025,"Advanced materials (Deerfield Beach, Fla.)",thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1038/s41598-025-26886-1,10.1038/s41598-025-26886-1,Assessing the performance of a Trombe wall enhanced with phase change material using deep learning.,2025,Scientific reports,thermal,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1080/10409289.2025.2548031,10.1080/10409289.2025.2548031,"School- Versus Center-Based Pre-K: Are There Differences in Student Achievement, Executive Function, and Social–Emotional Outcomes?",2025,Early Education and Development,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.3390/buildings15101738,10.3390/buildings15101738,Research on the Impact of Lighting Illuminance and Color on Creative Performance and Mood,2025,Buildings,light,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.3390/su17051955,10.3390/su17051955,Thermodynamic Optimization of Building HVAC Systems Through Dynamic Modeling and Advanced Machine Learning,2025,Sustainability,thermal,0,8.750,on_topic;content_signal_ok;venue_allowlist,https://doi.org/10.3390/su17051955
doi:10.1093/annweh/wxaf026,10.1093/annweh/wxaf026,"Impact of heat stress and protective clothing on healthcare workers: health, performance, and well-being in hospital settings.",2025,Annals of work exposures and health,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.53894/ijirss.v8i5.9444,10.53894/ijirss.v8i5.9444,Maintaining cognitive integrity: An analysis of thermal stress in high-stakes clean room environments,2025,International journal of innovative research and scientific studies,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1177/1420326X251337308,10.1177/1420326X251337308,"Impact of personal protective equipment on wearer's mood state, thermal comfort, health-related adverse reactions and cognitive ability",2025,Indoor and Built Environment,thermal,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1021/acsami.5c03496,10.1021/acsami.5c03496,Ambient Humidity-Dependent Tensile Behavior and Shape Memory Properties of Cinnamoyl Photo-Cross-Linked Poly(2-ethyl-2-oxazoline) Nanofibers.,2025,ACS Applied Materials and Interfaces,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.3390/plants14152391,10.3390/plants14152391,Comparison of Deep Learning Models for LAI Simulation and Interpretable Hydrothermal Coupling in the Loess Plateau.,2025,"Plants (Basel, Switzerland)",thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1002/ese3.70233,10.1002/ese3.70233,A Machine Learning Approach to Climate‐Based Building Energy Consumption,2025,Energy Science &amp; Engineering,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1109/MetroLivEnv64961.2025.11107141,10.1109/MetroLivEnv64961.2025.11107141,Enhanced Building Electric Power Demand Forecasting Using IoT and Machine Learning,2025,2025 IEEE International Workshop on Metrology for Living Environment (MetroLivEnv),thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1002/ese3.70432,10.1002/ese3.70432,Predicting Parameters Affecting Building Energy Consumption Using Machine Learning Models,2025,Energy Science &amp; Engineering,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.32523/2306-6172-2025-13-3-50-67,10.32523/2306-6172-2025-13-3-50-67,DETECTING BUILDING DEFECTS WITH DEEP LEARNING,2025,Eurasian journal of mathematical and computer applications,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1038/s41598-025-23134-4,10.1038/s41598-025-23134-4,Deep learning and multi-objective optimization for real-time occupancy-based energy control in smart buildings.,2025,Scientific reports,thermal,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1109/ECE67147.2025.11276708,10.1109/ECE67147.2025.11276708,Presence and Movement Prediction Using Supervised Learning on Microcontroller,2025,2025 2nd International Conference on Electronic and Computer Engineering (ECE),air,0,8.750,on_topic;content_signal_ok,
doi:10.14455/isec.2025.12(1).aae-24,10.14455/isec.2025.12(1).aae-24,MACHINE LEARNING FRAMEWORK FOR PREDICTING THERMAL PERFORMANCE OF BUILDING ENVELOPES IN EARLY-STAGE ARCHITECTURAL DESIGN,2025,Proceedings of International Structural Engineering and Construction,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1073/pnas.2513319122,10.1073/pnas.2513319122,Spiking world model with multicompartment neurons for model-based reinforcement learning.,2025,Proceedings of the National Academy of Sciences of the United States of America,acoustic,0,8.750,on_topic;content_signal_ok,
doi:10.3389/fpsyg.2025.1586997,10.3389/fpsyg.2025.1586997,The effects of classroom acoustic quality on student perception and wellbeing: a systematic review across educational levels,2025,Frontiers in Psychology,acoustic,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.3389/frai.2025.1639147,10.3389/frai.2025.1639147,Arabic speech recognition model using Baidu's deep and cluster learning.,2025,Frontiers in artificial intelligence,acoustic,0,8.750,on_topic;content_signal_ok,
doi:10.1186/s12888-025-07630-5,10.1186/s12888-025-07630-5,Mood states recognition based on Mandarin speech and deep learning in patients with bipolar disorder,2025,BMC Psychiatry,acoustic,0,8.750,on_topic;content_signal_ok,
doi:10.1088/1742-6596/3140/12/122007,10.1088/1742-6596/3140/12/122007,"Linking multi-domain IEQ satisfaction to perceived stress, mood, and productivity in classrooms: insights from a living laboratory experiment",2025,Journal of Physics: Conference Series,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1038/s41598-025-18628-0,10.1038/s41598-025-18628-0,The relationship between the spatial and temporal patterns of urban noise dispersion and social perceptions.,2025,Scientific reports,acoustic,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.3390/s26010227,10.3390/s26010227,Gaussian Connectivity-Driven EEG Imaging for Deep Learning-Based Motor Imagery Classification.,2025,"Sensors (Basel, Switzerland)",acoustic,0,8.750,on_topic;content_signal_ok,
doi:10.48550/arXiv.2507.17506,10.48550/arXiv.2507.17506,Joint Multi-Target Detection-Tracking in Cognitive Massive MIMO Radar via POMCP,2025,arXiv.org,acoustic,0,8.750,on_topic;content_signal_ok,
doi:10.1038/s41598-025-29397-1,10.1038/s41598-025-29397-1,COGEniX: an industrial informatics framework for cognitive energy forecasting and carbon-aware scheduling in smart zones.,2025,Scientific reports,cognition,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1109/ICPST65050.2025.11089401,10.1109/ICPST65050.2025.11089401,Noise Attention-based Informer Model for Nonintrusive Load Monitoring,2025,2025 IEEE 3rd International Conference on Power Science and Technology (ICPST),acoustic,0,8.750,on_topic;content_signal_ok,
doi:10.1109/TIFS.2025.3573161,10.1109/TIFS.2025.3573161,Noise-Informed Diffusion-Generated Image Detection With Anomaly Attention,2025,IEEE Transactions on Information Forensics and Security,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.1109/TIM.2025.3604132,10.1109/TIM.2025.3604132,Induced Voltage Noise Compensation Method Based on CWW + CNN-BiLSTM-Attention,2025,IEEE Transactions on Instrumentation and Measurement,acoustic,0,8.750,on_topic;content_signal_ok,
