paper_id,doi,title,year,venue,topic_bucket,citation_count,priority_score,reasons,url
doi:10.1038/s41598-025-19113-4,10.1038/s41598-025-19113-4,The effects of biophilic design on steering performance in virtual reality,2025,Scientific Reports,biophilic,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1155/ina/8696488,10.1155/ina/8696488,Protective and Restorative Effects of Biophilic Design in High School Indoor Environments on Stress and Cognitive Function,2025,Indoor Air: International Journal of Indoor Environment and Health,biophilic,0,8.750,on_topic;content_signal_ok,https://doi.org/10.1155/ina/8696488
doi:10.1038/s41467-026-68402-7,10.1038/s41467-026-68402-7,A reconfigurable photosensitive split-floating-gate memory for neuromorphic computing and nonlinear activation.,2026,Nature communications,cognition,0,9.000,on_topic;content_signal_ok,
doi:10.1016/j.saa.2025.127358,10.1016/j.saa.2025.127358,PLSTM-MTGF: A deep learning fusion model enabling real-time multi-target monitoring of penicillin fermentation via near-infrared spectroscopy.,2026,"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",cognition,0,9.000,on_topic;content_signal_ok,
doi:10.1371/journal.pone.0337948,10.1371/journal.pone.0337948,Human emotional odours influence horses' behaviour and physiology.,2026,PloS one,cognition,0,9.000,on_topic;content_signal_ok;venue_allowlist,
doi:10.1038/s41598-026-36031-1,10.1038/s41598-026-36031-1,A multi-branch network for cooperative spectrum sensing via attention-based and CNN feature fusion.,2026,Scientific reports,cognition,0,9.000,on_topic;content_signal_ok;venue_allowlist,
doi:10.1371/journal.pone.0339617,10.1371/journal.pone.0339617,EFEN-YOLOv8: Surface defect detection network based on spatial feature capture and multi-level weighted attention.,2026,PloS one,cognition,0,9.000,on_topic;content_signal_ok;venue_allowlist,
doi:10.1038/s41398-025-03803-8,10.1038/s41398-025-03803-8,Using multimodal cortical parcellations to identify novel regions of the human cerebral cortex associated with cognitive performance.,2026,Translational psychiatry,cognition,0,9.000,on_topic;content_signal_ok,
doi:10.1016/j.neunet.2026.108575,10.1016/j.neunet.2026.108575,Exploring cognitive workload recognition using CogRepLKNet with EEG-fMRI.,2026,Neural networks : the official journal of the International Neural Network Society,cognition,0,9.000,on_topic;content_signal_ok,
doi:10.1109/TPAMI.2026.3651246,10.1109/TPAMI.2026.3651246,How to Break It Down for Building It Up? Theory-Guided Graph Decomposition Learning for Spatiotemporal Traffic Prediction.,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,cognition,0,9.000,on_topic;content_signal_ok,
doi:10.15627/jd.2026.1,10.15627/jd.2026.1,Effects of Urban Obstructions on Spatial Daylight Autonomy (sDA) and Daylight Glare Probability (DGP) in Tropical Mid-rise Housings,2026,Journal of Daylighting,light,0,9.000,on_topic;content_signal_ok,
doi:10.1097/CRD.0000000000001161,10.1097/CRD.0000000000001161,"Sedation, Sleep, and Sudden Death: How ICU Sedation Alters Cardiac Rhythmicity and Autonomic Tone.",2026,Cardiology in review,light,0,9.000,on_topic;content_signal_ok,
doi:10.1038/s41598-025-34497-z,10.1038/s41598-025-34497-z,Learning enhanced scheduling and resource allocation for heterogeneous UAV swarms in edge assisted remote sensing.,2026,Scientific reports,light,0,9.000,on_topic;content_signal_ok;venue_allowlist,
doi:10.1108/sasbe-07-2024-0244,10.1108/sasbe-07-2024-0244,Exploring urban lighting design effect on citizens´ emotions through the application of Kansei methodology,2025,Smart and Sustainable Built Environment,light,0,8.750,on_topic;content_signal_ok,
doi:10.1109/M2VIP67511.2025.11165563,10.1109/M2VIP67511.2025.11165563,Research on the Aesthetic Perception of Color Temperature in Urban Waterfront Nightscape Lighting Interfaces: A Virtual Reality Experiment Approach,2025,International Conference on Mechatronics and Machine Vision in Practice,light,0,8.750,on_topic;content_signal_ok,
doi:10.3390/buildings15132184,10.3390/buildings15132184,Multidimensional Human Responses Under Dynamic Spectra of Daylighting and Electric Lighting,2025,Buildings,light,0,8.750,on_topic;content_signal_ok;venue_allowlist,
