paper_id,doi,title,year,venue,status,n_tables,n_claims,anchor_coverage,unresolved_environment_rate,unresolved_outcome_rate,theory_link_count,inter_article_relation_count,node_type_tag_rate,edge_type_tag_rate,quality_flags,processed_at
doi:10.47611/jsrhs.v13i1.6257,10.47611/jsrhs.v13i1.6257,Biophilic architecture: Using cognitive science principles to understand impact on well-being,2024,Journal of student-scientists' research,completed_pdf_extracted,3,92,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-18T23:56:07.469898+00:00
doi:10.1371/journal.pone.0307934,10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,2024,PLoS ONE,completed_pdf_extracted,3,134,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-18T23:56:08.901252+00:00
