paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.1016/j.socscimed.2024.117413,10.1016/j.socscimed.2024.117413,"From risk factors to disease situations: A socio-spatial analysis of COVID-19 experiences in Lima, Peru.",2024,Social science & medicine (1982),affect,0,unspecified_environment,mood,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The goal of this qualitative research study, part of an interdisciplinary project, was to understand the overlapping geographical distribution of COVID-19 and tuberculosis burden in Lima. Using an ethnographic approach, we applied the concept of disease situations to explore how inhabitants' social and spatial situa...",no,qualitative,ethnographic
doi:10.22320/07196466.2024.42.065.07,10.22320/07196466.2024.42.065.07,Paisaje y Arquitectura: Lecciones de diseño Yawanawá de la Floresta Amazónica brasileña,2024,Arquitecturas del Sur,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The purpose of this article is to observe the spatial design practices of the Yawanawá indigenous population that inhabits the Rio Gregorio Indigenous Land, located in the Brazilian Amazon Forest. In collaboration with this community, the intention is to reflect on approaches that can enrich the research of their sp...",no,unknown,ethnographic
doi:10.1016/j.nedt.2020.104569,10.1016/j.nedt.2020.104569,Learning environments for interprofessional education: A micro-ethnography of sociomaterial assemblages in team-based learning.,2020,Nurse education today,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Teamwork and collaboration are central to interprofessional education but fostering these attributes in large undergraduate cohorts is challenging.,no,observational,ethnographic
doi:10.1080/00141844.2023.2241657,10.1080/00141844.2023.2241657,Making Megaprojects: The Practices and Politics of Scale-Making,2023,Ethnos,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"ABSTRACT The world is currently experiencing a surge of investment in, and development of, large-scale infrastructural building projects, frequently captured by the term ‘megaprojects’. Distinguished by the bulk of their envisioned materiality, the volume of financial capital required to build them, and the complexi...",no,qualitative,ethnographic
doi:10.1108/ijchm-02-2020-0113,10.1108/ijchm-02-2020-0113,"Antecedents of positive eWOM in hotels. Exploring the relative role of satisfaction, quality and positive emotional experiences",2020,International Journal of Contemporary Hospitality Management,cognition,0,unspecified_environment,attention,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Purpose This study aims to compare the relative importance of service quality (SQ), customer satisfaction (CS) and positive emotional experiences (PEE) to determine which is more influential in customers’ intention to spread positive eWOM. Design/methodology/approach A questionnaire that had been translated previous...",no,cross_sectional_survey,ethnographic
doi:10.1017/s0026749x19000039,10.1017/s0026749x19000039,The Modernity of Caste and the Market Economy,2019,Modern Asian Studies,biophilic,0,biophilia,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Abstract What place does the caste system have in modern India with its globally integrating market economy? The most influential anthropological approaches to caste have tended to emphasize caste as India's traditional religious and ritual order, or (treating such order as a product of the colonial encounter) as sh...",no,unknown,ethnographic
doi:10.1111/maq.70044,10.1111/maq.70044,"""Nowhere else to go"": Slow abandonment and (en)closures of long-term care in Los Angeles.",2025,Medical anthropology quarterly,other,0,unspecified_environment,unspecified_outcome,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Residential long-term care facilities, known in California as ""board and care"" homes, have been closing rapidly in the last decade. Proponents assert these provide vital forms of housing and care to the poor and must be saved, while critics contend they perpetuate the institutionalization of people with disabilities...",no,unknown,ethnographic
doi:10.3390/ijerph22081311,10.3390/ijerph22081311,"Participatory Development of Digital Innovations for Health Promotion Among Older Adults: Qualitative Insights on Individual, Contextual, and Technical Factors.",2025,International journal of environmental research and public health,cognition,0,unspecified_environment,cognition,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Location-based games offer innovative approaches for health promotion among older adults, but their effectiveness depends on understanding complex contextual factors beyond technological design. In our study, we aimed to adapt a location-based game in the form of a smartphone application which originally targeted yo...",no,qualitative,ethnographic
doi:10.1177/02637758251334335,10.1177/02637758251334335,Women and the coloniality of urban atmospheres of terror in Rio de Janeiro's favelas.,2025,"Environment and planning. D, Society & space",biophilic,0,biophilia,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"This essay examines the urban atmospheres of terror in the favelas of Rio de Janeiro, Brazil, from the perspective of women residents. Drawing on two ethnographic projects conducted in various favelas in 2016 and 2019, I argue that terror, as an urban atmosphere, is deeply rooted in a long history of racialized and ...",no,qualitative,ethnographic
doi:10.1111/cobi.14397,10.1111/cobi.14397,"Adivasi (Tea Tribe) worldviews of living close to wild Asian elephants in Assam, India.",2024,Conservation biology : the journal of the Society for Conservation Biology,air,0,air_quality,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"In Assam state, northeastern India, human-elephant conflict mitigation has included technocentric measures, such as installation of barriers, alternative livelihoods, and afforestation. Such measures treat conflict as a technical problem with linear cause-effect relations and are usually ineffective over the long te...",no,qualitative,ethnographic
doi:10.1177/0170840618759813,10.1177/0170840618759813,The Shaping of Form: Exploring Designers’ Use of Aesthetic Knowledge,2018,Organization Studies,biophilic,0,biophilia,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Research on design and designers has emphasized the tacit nature of the aesthetic knowledge that these professionals draw upon to make decisions about formal properties of objects and spaces, but is less clear about how design teams address the difficulties associated with expressing and sharing this type of knowled...",no,qualitative,ethnographic
