paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.3389/fpsyt.2017.00248,10.3389/fpsyt.2017.00248,"Economic and Health Predictors of National Postpartum Depression Prevalence: A Systematic Review, Meta-analysis, and Meta-Regression of 291 Studies from 56 Countries",2018,Frontiers in Psychiatry,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,The global prevalence of PPD is greater than previously thought and varies dramatically by nation. Disparities in wealth inequality and maternal-child-health factors explain much of the national variation in PPD prevalence.,no,meta_analysis,meta_analysis
doi:10.1371/journal.pone.0317615,10.1371/journal.pone.0317615,Effects of cold-water immersion on health and wellbeing: A systematic review and meta-analysis.,2025,PloS one,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Cold-water immersion (CWI) has gained popularity as a health and wellbeing intervention among the general population.,no,meta_analysis,meta_analysis
doi:10.3390/app12062988,10.3390/app12062988,Fungi Affecting Wall Paintings of Historical Value: A Worldwide Meta-Analysis of Their Detected Diversity,2022,Applied Sciences,thermal,0,thermal,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Wall paintings have been a cultural expression of human creativity throughout history. Their degradation or destruction represents a loss to the world’s cultural heritage, and fungi have been identified as a major contributor to their decay. We provide a critical review of fungi isolated from worldwide wall painting...",no,meta_analysis,meta_analysis
doi:10.1007/s10661-022-09808-w,10.1007/s10661-022-09808-w,"Urban greenery for air pollution control: a meta-analysis of current practice, progress, and challenges.",2022,Environmental monitoring and assessment,biophilic,0,biophilia,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Most governmental initiatives in India, to leash down urban air pollution, have yielded little results till date, largely due to purely technocratic vision, which is shrouded by technological, economic, social, institutional, and political hardships. We present this reflective article on urban greenery, as a proposi...",no,meta_analysis,meta_analysis
doi:10.1111/anae.15073,10.1111/anae.15073,The use of high‐flow nasal oxygen in <scp>COVID</scp> ‐19,2020,Anaesthesia,air,0,air_quality,stress,mixed,,medium,abstract_only_reduced_table,abstract_only,"The key healthcare challenge of the coronavirus disease 2019 (COVID-19) pandemic is the safe delivery of respiratory support on a large scale. The care of critically ill COVID-19 patients is guided by our knowledge and experience with acute respiratory distress syndrome (ARDS), but this crisis is pushing patients an...",no,meta_analysis,meta_analysis
doi:10.1186/s12889-023-17593-5,10.1186/s12889-023-17593-5,Effect of low-frequency noise exposure on cognitive function: a systematic review and meta-analysis,2024,BMC Public Health,cognition,0,noise,cognition,positive,,medium,abstract_only_reduced_table,abstract_only,"Low-frequency noise may cause changes in cognitive function. However, there is no established consensus on the effect of low-frequency noise on cognitive function. Therefore, this systematic review and meta-analysis aimed to explore the relationship between low-frequency noise exposure and cognitive function. We con...",no,meta_analysis,meta_analysis
doi:10.4103/nah.nah_83_21,10.4103/nah.nah_83_21,Impact of Noise Exposure on Risk of Developing Stress-Related Health Effects Related to the Cardiovascular System: A Systematic Review and Meta-Analysis,2022,Noise and Health,acoustic,0,noise,stress,positive,,medium,abstract_only_reduced_table,abstract_only,"Background: Exposure to acute noise can cause an increase in biological stress reactions, which provides biological plausibility for a potential association between sustained noise exposure and stress-related health effects. However, the certainty in the evidence for an association between exposures to noise on shor...",no,meta_analysis,meta_analysis
doi:10.4103/nah.nah_21_22,10.4103/nah.nah_21_22,Impact of Noise Exposure on Risk of Developing Stress-Related Metabolic Effects: A Systematic Review and Meta-Analysis,2022,Noise and Health,acoustic,0,noise,stress,positive,,medium,abstract_only_reduced_table,abstract_only,"Abstract Background: Exposure to noise can increase biological stress reactions, which may increase adverse health effects, including metabolic disorders; however, the certainty in the association between exposure to noise and metabolic outcomes has not been widely explored. The objective of this review is to evalua...",no,meta_analysis,meta_analysis
doi:10.4103/nah.nah_22_22,10.4103/nah.nah_22_22,Impact of Noise Exposure on Risk of Developing Stress-Related Obstetric Health Effects: A Systematic Review and Meta-Analysis,2022,Noise and Health,acoustic,0,noise,stress,positive,,medium,abstract_only_reduced_table,abstract_only,"Background: Exposure to noise can increase biological stress reactions and that could increase the risk of stress-related prenatal effects, including adverse obstetric outcomes; however, the association between exposure to noise and adverse obstetric outcomes has not been extensively explored. The objective of this ...",no,meta_analysis,meta_analysis
doi:10.1044/leader.fmp.22072017.6,10.1044/leader.fmp.22072017.6,Tackling the Toll of Hearing Loss on Executive Function,2017,ASHA Leader,acoustic,0,noise,cognition,mixed,,medium,abstract_only_reduced_table,abstract_only,"You have accessThe ASHA LeaderFrom My Perspective1 Jul 2017Tackling the Toll of Hearing Loss on Executive FunctionWe need to think beyond the speech chain—and hearing aids—to fully address effects of hearing loss on older adults’ cognitive health. M. Kathleen Pichora-Fuller, andPhD Natalie PhillipsPhD M. Kathleen Pi...",no,meta_analysis,meta_analysis
doi:10.1016/j.heares.2022.108442,10.1016/j.heares.2022.108442,Speech-in-noise perception in musicians and non-musicians: A multi-level meta-analysis.,2022,Hearing research,acoustic,0,noise,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Speech-in-noise perception, the ability to hear a relevant voice within a noisy background, is important for successful communication. Musicians have been reported to perform better than non-musicians on speech-in-noise tasks. This meta-analysis uses a multi-level design to assess the claim that musicians have super...",no,meta_analysis,meta_analysis
doi:10.1016/j.neuro.2025.103335,10.1016/j.neuro.2025.103335,Association of midlife air pollution and road proximity exposure with 29-year cognitive decline.,2025,Neurotoxicology,cognition,0,air_quality,cognition,positive,,medium,abstract_only_reduced_table,abstract_only,Midlife ambient air pollution exposures may be etiologically relevant to late-life cognition. We considered whether midlife air pollution and traffic exposures are associated with midlife to late-life cognitive change. Our sample included Atherosclerosis Risk in Communities (ARIC) cohort study participants with cogn...,no,meta_analysis,meta_analysis
doi:10.7717/peerj.19273,10.7717/peerj.19273,Effects of exercise intervention on executive function in children with overweight and obesity: a systematic review and meta-analysis,2025,PeerJ,cognition,0,unspecified_environment,cognition,null,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Background Weight control in children depends on executive function. Previous studies have shown that exercise interventions can effectively improve children’s executive function. However, the effects of these interventions on children with overweight and obesity remain unclear and require further investigation. Thi...",no,meta_analysis,meta_analysis
doi:10.1111/aphw.12244,10.1111/aphw.12244,"Therapeutic Effects of Meditation, Yoga, and Mindfulness-Based Interventions for Chronic Symptoms of Mild Traumatic Brain Injury: A Systematic Review and Meta-Analysis.",2020,Applied Psychology: Health and Well-Being,cognition,0,unspecified_environment,cognition,positive,539,low,abstract_only_reduced_table,abstract_only;n=539;weak_variable_resolution,"BACKGROUND
Chronic symptoms of mild traumatic brain injury (mTBI) vary greatly and are difficult to treat; we investigate the impact of meditation, yoga, and mindfulness-based interventions on this treatment group.


METHOD
Search included four databases, allowing studies of any design containing pre/post outcomes f...",no,meta_analysis,meta_analysis
