paper_id,title,topic_bucket,table_id,row_index,claim_id,claim_type,content,confidence,citation,intervention,control,outcome,sample_size,effect_size,effect_size_type,ci_lower,ci_upper,p_value,source,article_type,template_family
doi:10.1038/s41598-022-20649-y,A mobile EEG study on the psychophysiological effects of walking and crowding in indoor and outdoor urban environments,biophilic,TBL-20260213154757-077,0,doi:10.1038/s41598-022-20649-y-TBL-C001,sample,Standing group,0.85,,,,,,,,,,,codex_pdfplumber,theoretical_conceptual,empirical_v2
doi:10.1038/s41598-022-20649-y,A mobile EEG study on the psychophysiological effects of walking and crowding in indoor and outdoor urban environments,biophilic,TBL-20260213154757-077,1,doi:10.1038/s41598-022-20649-y-TBL-C002,sample,n = 20 group,0.85,,,,,,,,,,,codex_pdfplumber,theoretical_conceptual,empirical_v2
doi:10.1038/s41598-022-20649-y,A mobile EEG study on the psychophysiological effects of walking and crowding in indoor and outdoor urban environments,biophilic,TBL-20260213154757-077,3,doi:10.1038/s41598-022-20649-y-TBL-C003,sample,9 (45%) group,0.85,,,,,,,,,,,codex_pdfplumber,theoretical_conceptual,empirical_v2
doi:10.1038/s41598-022-20649-y,A mobile EEG study on the psychophysiological effects of walking and crowding in indoor and outdoor urban environments,biophilic,TBL-20260213154757-077,4,doi:10.1038/s41598-022-20649-y-TBL-C004,sample,11 (55%) group,0.85,,,,,,,,,,,codex_pdfplumber,theoretical_conceptual,empirical_v2
doi:10.1038/s41598-022-20649-y,A mobile EEG study on the psychophysiological effects of walking and crowding in indoor and outdoor urban environments,biophilic,TBL-20260213154757-077,6,doi:10.1038/s41598-022-20649-y-TBL-C005,sample,22.60 (2.56) group,0.85,,,,,,,,,,,codex_pdfplumber,theoretical_conceptual,empirical_v2
doi:10.1038/s41598-022-20649-y,A mobile EEG study on the psychophysiological effects of walking and crowding in indoor and outdoor urban environments,biophilic,TBL-20260213154757-077,8,doi:10.1038/s41598-022-20649-y-TBL-C006,sample,168.25 (9.00) group,0.85,,,,,,,,,,,codex_pdfplumber,theoretical_conceptual,empirical_v2
