paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.3389/fbioe.2025.1582873,10.3389/fbioe.2025.1582873,Effects of mental fatigue on biomechanical characteristics and risk associated with non-contact anterior cruciate ligament injuries during landing,2025,Frontiers in Bioengineering and Biotechnology,cognition,0,unspecified_environment,attention,null,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Objective To investigate and compare the effects of mental fatigue (MF) on biomechanical characteristics associated with non-contact anterior cruciate ligament injury (NC-ACLI) in male college students during stop-jump (SJ) and single-leg landing (SL), and whether it increases NC-ACLI risk. Methods MF was induced by...",no,quasi_experimental,unknown
doi:10.31098/bmss.v1i3.342,10.31098/bmss.v1i3.342,Does Trading Volume Activity React To The Announcement of Large-Scale Social Restrictions During The Covid-19 Pandemic?,2021,RSF Conference Series Business Management and Social Sciences,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,This research is an event study that aims to examine the information content as measured by trading volume activity as a form of capital market reaction to the announcement of the COVID-19 pandemic in Indonesia. The purpose of this research study is to determine and analyze the presence or absence of trading volume ...,no,quasi_experimental,unknown
doi:10.1523/jneurosci.21-14-j0001.2001,10.1523/jneurosci.21-14-j0001.2001,"Background, But Not Foreground, Spatial Cues Are Taken as References for Head Direction Responses by Rat Anterodorsal Thalamus Neurons",2001,Journal of Neuroscience,spatial,0,spatial_layout,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Two populations of limbic neurons are likely neurophysiological substrates for cognitive operations required for spatial orientation and navigation: hippocampal pyramidal cells discharge selectively when the animal is in a certain place (the ""firing field"") in the environment, whereas head direction cells discharge ...",no,quasi_experimental,empirical_v2
doi:10.3389/fpsyg.2017.02093,10.3389/fpsyg.2017.02093,Restoration and the City: The Role of Public Urban Squares,2017,Frontiers in Psychology,restoration,0,unspecified_environment,attention,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Over recent decades, the study of psychological restoration has attracted a considerable amount of interest within and without the boundaries of environmental psychology, with most of the work focused on analyzing restoration in natural contexts. However, little attention has been paid to the (possible) restorative ...",no,quasi_experimental,unknown
sha256:0f0ce830ad46,,The effects of virtual reality on learning office layout design,1996,Lincoln (University of Nebraska),spatial,0,spatial_layout,mood,null,,medium,abstract_only_reduced_table,abstract_only,"Computer-assisted instruction has been used in classrooms for several years and its effectiveness has been substantiated by research. Virtual reality, a recently developed computer-assisted simulation, has been gaining popularity as a teaching and training tool. Although the effectiveness of virtual reality as an in...",no,quasi_experimental,empirical_v2
doi:10.1177/03057356221116141,10.1177/03057356221116141,Evaluating the three-network theory of creativity: Effects of music listening on resting state EEG,2022,Psychology of Music,spatial,0,spatial_layout,cognition,positive,,medium,abstract_only_reduced_table,abstract_only,"Research evidences the ability of music listening to transiently improve performance on creative cognition. However, the mechanism for cognitive improvements as a result of music listening is still contested. Research has asserted that three networks neatly map onto the well-known theory of blind variation and selec...",no,quasi_experimental,conceptual_framework
doi:10.1371/journal.pone.0275833,10.1371/journal.pone.0275833,Impacts of building information modelling (BIM) on communication network of the construction project: A social capital perspective,2022,PLoS ONE,spatial,0,spatial_layout,unspecified_outcome,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Building information modelling (BIM) is considered to be significant for organisational communication in construction projects. However, the role of BIM has not been fully shown in practice. To this end, this study examined the impact of BIM on communication network from inter- and intra- organisational relationship...",no,quasi_experimental,thought_piece
doi:10.52922/ti205710,10.52922/ti205710,Reducing crime in public housing areas through community development: An evaluation of the High Density Housing Program in the ACT,2018,,spatial,0,spatial_layout,unspecified_outcome,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The High Density Housing Program (HDHP) is a collaborative program involving Reclink Australia, the Australian Capital Territory Justice and Community Safety Directorate (JACS), ACT Housing, ACT Health and ACT Policing. It involves the application of community development approaches to prevent crime and antisocial b...",no,quasi_experimental,interview_study
doi:10.1037/a0015511,10.1037/a0015511,The role of occupational complexity in trajectories of cognitive aging before and after retirement.,2009,Psychology and Aging,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"We examined the association between complexity of the main lifetime occupation and changes in cognitive ability in later life. Data on complexity of work with data, people, and things and on 4 cognitive factors (verbal, spatial, memory, and speed) were available from 462 individuals in the longitudinal Swedish Adopt...",no,quasi_experimental,unknown
doi:10.1162/jocn_a_00988,10.1162/jocn_a_00988,"Short-term Music Training Enhances Complex, Distributed Neural Communication during Music and Linguistic Tasks",2016,Journal of Cognitive Neuroscience,cognition,0,unspecified_environment,cognition,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Abstract Musical training is frequently associated with benefits to linguistic abilities, and recent focus has been placed on possible benefits of bilingualism to lifelong executive functions; however, the neural mechanisms for such effects are unclear. The aim of this study was to gain better understanding of the w...",no,quasi_experimental,theoretical
doi:10.2139/ssrn.3808042,10.2139/ssrn.3808042,Effects of Biophilic Virtual Reality Interior Design on Positive Emotion of University Students Responses,2020,,affect,0,biophilia,mood,positive,,medium,abstract_only_reduced_table,abstract_only,"Biophilic design is the embodiment of a passive strategy in energy-efficient design through the maximum of connection with nature. Previous biophilic design studies have showed a positive correlation between the presence of biophilic design with stress reduction, increased cognitive performance, and an increase of p...",no,quasi_experimental,empirical_v2
doi:10.1145/3474451.3476234,10.1145/3474451.3476234,Restorative Effects of Visual and Pictorial Spaces After Stress Induction in Virtual Reality,2021,ACM Symposium on Applied Perception,restoration,0,biophilia,stress,mixed,,medium,abstract_only_reduced_table,abstract_only,"Exposure to nature has been shown to have a positive effect on people’s mental health. Little research has compared restorative effects of simulated nature presented by different media. Here, we investigated stress recovery when viewing a computer-generated nature setting presented in visual and pictorial space in v...",no,quasi_experimental,unknown
doi:10.55606/sisthana.v4i1.47,10.55606/sisthana.v4i1.47,PENERAPAN TERAPI MUSIK DANGDUT RITME CEPAT TERHADAP PERBEDAAN TINGKAT DEPRESI PADA PASIEN DEPRESI DI RSJD Dr. AMINO GONDHOHUTOMO PROVINSI JAWA TENGAH,2019,JURNAL KEPERAWATAN SISTHANA,biophilic,0,biophilia,mood,mixed,,medium,abstract_only_reduced_table,abstract_only,"Depression is one form of psychiatric disorders in nature of feeling (affective or disorder) is characterized by melancholy, lethargy, feeling of no use, and despair. A nursing action that needs to be administered to patients with depression disorder with the provision of music therapy. Music therapy is a therapy th...",no,quasi_experimental,case_study
doi:10.1038/s41598-025-12911-w,10.1038/s41598-025-12911-w,Effect of virtual walk in green or urban spaces on pain perception among healthy adults.,2025,Scientific reports,biophilic,0,thermal,mood,mixed,,medium,abstract_only_reduced_table,abstract_only,Humans are deeply rooted in the natural environment. Contact with a green natural environment can affect pain perception. There are indications that a virtual analog of the natural environment may have a beneficial effect on pain perception. The aim of our study was to assess the potential effects of virtual walking...,no,quasi_experimental,empirical_v2
doi:10.3389/fpsyt.2022.757056,10.3389/fpsyt.2022.757056,Therapeutic Garden With Contemplative Features Induces Desirable Changes in Mood and Brain Activity in Depressed Adults,2022,Frontiers in Psychiatry,biophilic,0,biophilia,attention,mixed,92,medium,abstract_only_reduced_table,abstract_only;n=92,The therapeutic values of contact with nature have been increasingly recognized. A growing body of evidence suggests that a unique subcategory of “contemplative landscapes” is particularly therapeutic. Previous studies predominantly focused on observational designs in non-clinical populations. It is not known if the...,no,quasi_experimental,empirical_v2
doi:10.1080/07448481.2023.2252931,10.1080/07448481.2023.2252931,The effects of green space on college students’ mood,2023,Journal of American College Health,biophilic,0,biophilia,stress,unknown,,low,abstract_only_reduced_table,abstract_only,Abstract Objective: Less attention has been given to how green space can impact college students’ moods. This study aimed to examine whether university students exposed to outdoor and indoor green space-natural and artificial would experience a change in moods compared to students not exposed to green space. Method:...,no,quasi_experimental,unknown
doi:10.3390/ijerph191710760,10.3390/ijerph191710760,"Verification of Psychophysiological Effects of Satoyama Activities on Older Adult Volunteers and Young People in Post-COVID-19 Society: A Case Study of Matsudo City, Japan",2022,International Journal of Environmental Research and Public Health,biophilic,0,biophilia,stress,mixed,,medium,abstract_only_reduced_table,abstract_only,"Many scholars have focused on Satoyama, which is characterized by mountains or villages away from the urban spaces. Our objective is to verify its psychophysiological effects on people performing usual Satoyama activities in ignored, small urban green spaces to help people find ways to stay healthy in post-coronavir...",no,quasi_experimental,case_study
doi:10.5204/mcj.3028,10.5204/mcj.3028,Formatted Sound,2024,M/C Journal,cognition,0,noise,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"Locating the Format
What is format radio? At a glance, the answer might seem simple. In common parlance, the concept is often presented as a pejorative counterpart to non-commercial broadcasting. However, to render the concept synonymous with commercial broadcasting neglects its historical specificity. Previous rese...",no,quasi_experimental,phenomenological
doi:10.5465/ambpp.2017.247,10.5465/ambpp.2017.247,Green micro-breaks: Viewing workplace nature improves mood and performance,2017,Academy of Management Proceedings,light,0,daylight,stress,mixed,,medium,abstract_only_reduced_table,abstract_only,"The role of nature is rarely considered in research on work breaks. We drew on conservation of resources and attention restoration theories to examine how green micro-breaks, brief breaks spent viewing nature, may help employees recover resources to improve mood and performance. We examined two theoretically linked ...",no,quasi_experimental,theoretical
doi:10.1109/ICDMW58026.2022.00134,10.1109/ICDMW58026.2022.00134,On the Deployment of Post-Disaster Building Damage Assessment Tools using Satellite Imagery: A Deep Learning Approach,2022,2022 IEEE International Conference on Data Mining Workshops (ICDMW),biophilic,0,biophilia,mood,positive,,medium,abstract_only_reduced_table,abstract_only,"Natural disasters frequency is growing globally. Every year 350 million people are affected and billions of dollars of damage is incurred. Providing timely and appropriate humanitarian interventions like shelters, medical aid, and food to affected communities are challenging problems. AI frameworks can help support ...",no,quasi_experimental,conceptual_framework
