paper_id,title,topic_bucket,table_id,row_index,claim_id,claim_type,content,confidence,citation,intervention,control,outcome,sample_size,effect_size,effect_size_type,ci_lower,ci_upper,p_value,source,article_type,template_family
doi:10.38027/iccaua2024in0317,A Critical Enquiry of Material Ageing in Interior Architecture,air,TBL-20260213154726-042,0,doi:10.38027/iccaua2024in0317-TBL-C001,finding,Reasons for: Preservation,0.6,,,,,,,,,,,codex_pdfplumber,unknown,thought_piece
doi:10.38027/iccaua2024in0317,A Critical Enquiry of Material Ageing in Interior Architecture,air,TBL-20260213154726-043,0,doi:10.38027/iccaua2024in0317-TBL-C002,finding,Adaptive Reuse: Approach,0.6,,,,,,,,,,,codex_pdfplumber,unknown,thought_piece
