variable,category,source_count,sample_sources
actual_encounter,BEHAV_OUTCOME,1,SPATIAL_SOCIAL_ENCOUNTER_001:mech
actual_haptic_thermal_acoustic_olfactory_input,ENV_ARCH,1,MAT3:causal
actual_operative_temperature,UNCLASSIFIED,1,MAT2:causal
acute_consolidation_support,UNCLASSIFIED,1,ED_SYSTEMS_CONSOLIDATION_001:param
acute_consolidation_support.confidence_architectural,ENV_ARCH,1,ED_SYSTEMS_CONSOLIDATION_001:paramsub
acute_consolidation_support.confidence_mechanism,UNCLASSIFIED,1,ED_SYSTEMS_CONSOLIDATION_001:paramsub
acute_consolidation_support.interpretation,UNCLASSIFIED,1,ED_SYSTEMS_CONSOLIDATION_001:paramsub
adaptation_time_course,UNCLASSIFIED,1,OLF1:causal
adaptive_prediction_variance,PSYCH_COG,1,MAT2:causal
adaptive_thermal_prediction,PSYCH_COG,1,MAT2:causal
aesthetic_emotion,UNCLASSIFIED,2,M14:causal; M4:causal
affect_broadening,PSYCH_COG,1,VF3:mech
affect_broadening_narrowing,PSYCH_COG,1,VF3:mech
affective_comfort,PSYCH_COG,1,T33:causal
affective_experience,PSYCH_COG,1,T12:causal
affective_preference,PSYCH_COG,1,T34:causal
affective_state,PSYCH_COG,1,M2:causal
affective_state_memory_retrieval,PSYCH_COG,1,T35:causal
affordance_density_zones,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:param
affordance_density_zones.bridge_type,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:paramsub
affordance_density_zones.high,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:paramsub
affordance_density_zones.low,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:paramsub
affordance_density_zones.moderate,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:paramsub
affordance_diversity,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:param
affordance_diversity.bridge_type,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:paramsub
affordance_diversity.optimal_modes_supported,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:paramsub
affordance_diversity_index,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:param
affordance_diversity_index.bridge_type,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:paramsub
affordance_diversity_index.modes,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:paramsub
affordance_diversity_index.optimal_range,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:paramsub
affordance_diversity_index.source,UNCLASSIFIED,1,XF_SOCIAL_AFFORDANCE_DENSITY_001:paramsub
affordance_legibility,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:param
affordance_legibility.bridge_type,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:paramsub
affordance_legibility.high,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:paramsub
affordance_legibility.low,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:paramsub
affordance_legibility.moderate,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:paramsub
affordance_legibility.source,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:paramsub
affordance_multiplier,UNCLASSIFIED,1,SPATIAL_SOCIAL_ENCOUNTER_001:param
affordance_multiplier.bridge_type,UNCLASSIFIED,1,SPATIAL_SOCIAL_ENCOUNTER_001:paramsub
affordance_multiplier.lingering_features_absent,UNCLASSIFIED,1,SPATIAL_SOCIAL_ENCOUNTER_001:paramsub
affordance_multiplier.lingering_features_present,UNCLASSIFIED,1,SPATIAL_SOCIAL_ENCOUNTER_001:paramsub
affordance_multiplier.source,UNCLASSIFIED,1,SPATIAL_SOCIAL_ENCOUNTER_001:paramsub
affordance_relaxation_pathway,UNCLASSIFIED,1,T13:causal
affordance_scan,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:mech
aging_65plus,UNCLASSIFIED,9,ED_HIPPOCAMPAL_ENCODING_001:population_modifiers; ED_PATTERN_SEP_COMP_001:population_modifiers; ED_PE_ENCODING_PRINCIPLE_001:population_modifiers; ED_RECONSOLIDATION_001:population_modifiers; ED_SYSTEMS_CONSOLIDATION_001:population_modifiers
alerting_effect_duration,UNCLASSIFIED,1,NM_CIRCADIAN_ENTRAINMENT_001:param
alerting_effect_duration.note,UNCLASSIFIED,1,NM_CIRCADIAN_ENTRAINMENT_001:paramsub
alerting_effect_duration.source,UNCLASSIFIED,1,NM_CIRCADIAN_ENTRAINMENT_001:paramsub
alerting_response_threshold,UNCLASSIFIED,1,NM_CIRCADIAN_ENTRAINMENT_001:param
alerting_response_threshold.note,UNCLASSIFIED,1,NM_CIRCADIAN_ENTRAINMENT_001:paramsub
alerting_response_threshold.response_latency,UNCLASSIFIED,1,NM_CIRCADIAN_ENTRAINMENT_001:paramsub
alerting_response_threshold.source,UNCLASSIFIED,1,NM_CIRCADIAN_ENTRAINMENT_001:paramsub
all_pathways,UNCLASSIFIED,1,M13:causal
allostatic_familiarity_pathway,NEURAL_PHYS,1,T13:causal
allostatic_load,NEURAL_PHYS,1,T50:causal
allostatic_load_accumulation,NEURAL_PHYS,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:mech
allostatic_load_accumulation_rate,NEURAL_PHYS,1,T7:param
allostatic_load_accumulation_rate.anticipatory_weight,NEURAL_PHYS,1,T7:paramsub
allostatic_load_accumulation_rate.model,NEURAL_PHYS,1,T7:paramsub
allostatic_load_accumulation_rate.note,NEURAL_PHYS,1,T7:paramsub
allostatic_load_accumulation_rate.threshold_interaction,NEURAL_PHYS,1,T7:paramsub
allostatic_load_contribution,NEURAL_PHYS,2,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:param; T57:causal
allostatic_load_contribution.bridge_type,NEURAL_PHYS,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
allostatic_load_contribution.daily_equivalent,NEURAL_PHYS,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
allostatic_load_contribution.note,NEURAL_PHYS,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
allostatic_load_threshold,NEURAL_PHYS,1,T6:param
allostatic_load_threshold.chronic_effect_onset,NEURAL_PHYS,1,T6:paramsub
allostatic_load_threshold.population_modifiers,NEURAL_PHYS,1,T6:paramsub
allostatic_load_threshold.source,NEURAL_PHYS,1,T6:paramsub
allostatic_preparation,NEURAL_PHYS,1,IC2:causal
ambient_noise_level,ENV_ARCH,2,CREA2:causal; T60:causal
ambient_odorant_profile,UNCLASSIFIED,1,T35:causal
ambient_thermal_environment,UNCLASSIFIED,1,T57:causal
amplitude_threshold_for_pe_engagement,PSYCH_COG,1,L5:param
amplitude_threshold_for_pe_engagement.note,PSYCH_COG,1,L5:paramsub
amplitude_threshold_for_pe_engagement.source,PSYCH_COG,1,L5:paramsub
amygdala_activation,NEURAL_PHYS,1,T5:causal
amygdala_activation_and_approach_avoidance,NEURAL_PHYS,1,VF1:mech
amygdala_affective_evaluation,NEURAL_PHYS,1,T53:causal
amygdala_encoding_modulation,NEURAL_PHYS,1,E1:causal
amygdala_evaluation,NEURAL_PHYS,1,T53:causal
amygdala_hippocampus,NEURAL_PHYS,1,T35:causal
amygdala_inhibition,NEURAL_PHYS,1,T66:causal
amygdala_partial_out,NEURAL_PHYS,1,NM_VAGAL_REGULATION_001:param
amygdala_partial_out.protocol,NEURAL_PHYS,1,NM_VAGAL_REGULATION_001:paramsub
amygdala_proximity_detection,NEURAL_PHYS,1,PROXEMIC_PE_ARCH_001:mech
amygdala_proximity_response_function,NEURAL_PHYS,1,PROXEMIC_PE_ARCH_001:param
amygdala_proximity_response_function.bridge_type,NEURAL_PHYS,1,PROXEMIC_PE_ARCH_001:paramsub
