variable,category,source_count,sample_sources
co_presence_count,UNCLASSIFIED,1,SOC2:causal
cognitive_emotional_capacity,UNCLASSIFIED,1,T27:causal
cognitive_impairment,UNCLASSIFIED,1,ED_SCHEMA_ENCODING_001:population_modifiers
cognitive_load,UNCLASSIFIED,1,THRESHOLD_EPISODIC_BOUNDARY_001:population_modifiers
cognitive_load_leftward_shift,UNCLASSIFIED,1,T2:param
cognitive_load_leftward_shift.central_value,UNCLASSIFIED,1,T2:paramsub
cognitive_load_or_fatigue,UNCLASSIFIED,1,VF1:population_modifiers
cognitive_map_quality,UNCLASSIFIED,1,T3:causal
cognitive_map_structure,UNCLASSIFIED,1,SN1:causal
cognitive_performance,BEHAV_OUTCOME,1,MS2:causal
cognitive_processing_style,UNCLASSIFIED,1,T18:causal
cognitive_resource_availability,UNCLASSIFIED,1,T43:causal
cognitive_resources,UNCLASSIFIED,1,T20:causal
cognitive_saturation_ceiling,ENV_ARCH,1,SPATIAL_SOCIAL_ENCOUNTER_001:param
cognitive_saturation_ceiling.bridge_type,ENV_ARCH,1,SPATIAL_SOCIAL_ENCOUNTER_001:paramsub
cognitive_saturation_ceiling.source,ENV_ARCH,1,SPATIAL_SOCIAL_ENCOUNTER_001:paramsub
cognitive_social_deficits,UNCLASSIFIED,1,T32:causal
color_category_distance,ENV_ARCH,1,COL1:causal
color_context_congruence,ENV_ARCH,1,COL1:causal
color_saturation_and_brightness,ENV_ARCH,1,COL2:causal
combined_mirror_and_empathic_activation,UNCLASSIFIED,1,T49:causal
complex_strategy,UNCLASSIFIED,1,T37:causal
complexity_goldilocks_zone,PSYCH_COG,1,T2:param
complexity_goldilocks_zone.bounds,PSYCH_COG,1,T2:paramsub
complexity_goldilocks_zone.notes,PSYCH_COG,1,T2:paramsub
complexity_goldilocks_zone.warrant,PSYCH_COG,1,T2:paramsub
complexity_preference,PSYCH_COG,1,T15:causal
compressed_trajectories,UNCLASSIFIED,1,T25:causal
congruent_signals,UNCLASSIFIED,1,T39:causal
conscious_bodily_awareness,UNCLASSIFIED,1,TP1:causal
consolidation_permissive_environment,UNCLASSIFIED,1,MS_RIPPLE_REPLAY_002:param
consolidation_permissive_environment.acoustic_level,ENV_ARCH,1,MS_RIPPLE_REPLAY_002:paramsub
consolidation_permissive_environment.nature_view,ENV_ARCH,1,MS_RIPPLE_REPLAY_002:paramsub
consolidation_permissive_environment.postural_support,UNCLASSIFIED,1,MS_RIPPLE_REPLAY_002:paramsub
consolidation_permissive_environment.visual_complexity,PSYCH_COG,1,MS_RIPPLE_REPLAY_002:paramsub
contact_quality_modifiers,UNCLASSIFIED,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:param
contact_quality_modifiers.bridge_type,UNCLASSIFIED,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
contact_quality_modifiers.brief_greeting,UNCLASSIFIED,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
contact_quality_modifiers.casual_conversation_5min,UNCLASSIFIED,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
contact_quality_modifiers.shared_activity_30min,UNCLASSIFIED,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
contact_quality_modifiers.source,UNCLASSIFIED,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
contact_quality_modifiers.substantive_conversation_15min,UNCLASSIFIED,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
context_dependent_retrieval_advantage,UNCLASSIFIED,1,SN_CONTEXT_MEMORY_002:param
context_dependent_retrieval_advantage.interpretation,UNCLASSIFIED,1,SN_CONTEXT_MEMORY_002:paramsub
context_distinctiveness_benefit,UNCLASSIFIED,1,SN_CONTEXT_MEMORY_002:param
context_distinctiveness_benefit.interpretation,UNCLASSIFIED,1,SN_CONTEXT_MEMORY_002:paramsub
context_reinstatement,UNCLASSIFIED,1,T23:causal
context_stability_threshold,UNCLASSIFIED,1,SN_CONTEXT_MEMORY_002:param
context_stability_threshold.interpretation,UNCLASSIFIED,1,SN_CONTEXT_MEMORY_002:paramsub
contextual_appropriateness_judgment,UNCLASSIFIED,1,MAT5:causal
continuous_path_geometry,UNCLASSIFIED,1,T24:causal
contour_PE,UNCLASSIFIED,1,VF1:mech
contour_PE_time_course,UNCLASSIFIED,1,VF1:param
contour_PE_time_course.P1_initial_detection_ms,UNCLASSIFIED,1,VF1:paramsub
contour_PE_time_course.approach_avoidance_signal_ms,UNCLASSIFIED,1,VF1:paramsub
contour_PE_time_course.knowledge_meaning_onset_ms,UNCLASSIFIED,1,VF1:paramsub
contour_proportions_interaction,UNCLASSIFIED,1,VF3:param
contour_proportions_interaction.angular_confining,UNCLASSIFIED,1,VF3:paramsub
contour_proportions_interaction.angular_liberating,UNCLASSIFIED,1,VF3:paramsub
contour_proportions_interaction.curved_confining,UNCLASSIFIED,1,VF3:paramsub
contour_proportions_interaction.curved_liberating,UNCLASSIFIED,1,VF3:paramsub
contour_proportions_interaction.design_implication,UNCLASSIFIED,1,VF3:paramsub
contour_proportions_interaction.model,UNCLASSIFIED,1,VF3:paramsub
control_failure,PSYCH_COG,1,T36:causal
control_mode_selection,PSYCH_COG,1,T45:causal
controllability_modifier,PSYCH_COG,1,T7:param
controllability_modifier.high_control,PSYCH_COG,1,T7:paramsub
controllability_modifier.low_control,PSYCH_COG,1,T7:paramsub
controllability_modifier.source,PSYCH_COG,1,T7:paramsub
controllable_environmental_features,PSYCH_COG,1,T21:causal
corridor_differentiation_score,UNCLASSIFIED,1,ED_PATTERN_SEP_COMP_001:architectural_modifier_coefficients
cortical_consolidation,NEURAL_PHYS,1,T25:causal
cortical_gain,NEURAL_PHYS,1,T11:causal
cortical_gain_modulation,NEURAL_PHYS,1,T11:causal
cortical_information_access,NEURAL_PHYS,1,T46:causal
cortical_prediction_modulation,NEURAL_PHYS,1,PROXEMIC_PE_ARCH_001:mech
cortical_signal_to_noise,ENV_ARCH,1,T26:causal
cortisol_awakening_response_timing_sensitivity,NEURAL_PHYS,1,L2:param
cortisol_awakening_response_timing_sensitivity.note,NEURAL_PHYS,1,L2:paramsub
cortisol_awakening_response_timing_sensitivity.source,NEURAL_PHYS,1,L2:paramsub
cortisol_elevation,NEURAL_PHYS,1,T5:causal
cortisol_elevation_and_attentional_fatigue,NEURAL_PHYS,1,SOC2:causal
cortisol_onset_lag,NEURAL_PHYS,1,T6:param
cortisol_onset_lag.lambda_onset,NEURAL_PHYS,1,T6:paramsub
cortisol_onset_lag.population_modifiers,NEURAL_PHYS,1,T6:paramsub
cortisol_onset_lag.source,NEURAL_PHYS,1,T6:paramsub
cortisol_recovery_rate,NEURAL_PHYS,1,T6:param
cortisol_recovery_rate.architectural_modifiers,ENV_ARCH,1,T6:paramsub
cortisol_recovery_rate.lambda,NEURAL_PHYS,1,T6:paramsub
cortisol_recovery_rate.lambda_unit,NEURAL_PHYS,1,T6:paramsub
cortisol_recovery_rate.population_modifiers,NEURAL_PHYS,1,T6:paramsub
cortisol_recovery_rate.source,NEURAL_PHYS,1,T6:paramsub
cortisol_reduction,NEURAL_PHYS,1,T13:causal
creative_impasse,UNCLASSIFIED,1,CREA3:causal
creative_output_quality,UNCLASSIFIED,1,CREA1:causal
creative_product_quality,UNCLASSIFIED,1,CREA1:causal
creative_risk_taking,UNCLASSIFIED,1,CREA4:causal
creative_workspace_target,UNCLASSIFIED,1,VF3:architectural_modifier_coefficients
cross_modal_haptic_thermal_acoustic_prediction,ENV_ARCH,1,MAT3:causal
cross_modal_material_PE,ENV_ARCH,1,MAT3:causal
cultural_association_activation,UNCLASSIFIED,1,MAT5:causal
cultural_background,UNCLASSIFIED,1,AX9:causal
cultural_familiarity_with_building_type,UNCLASSIFIED,1,T22:population_modifiers
cultural_visual_ecology,UNCLASSIFIED,1,T15:causal
cumulative_sws_degradation_rate,UNCLASSIFIED,1,CB_SLEEP_ARCHITECTURE_002:param
cumulative_sws_degradation_rate.note,UNCLASSIFIED,1,CB_SLEEP_ARCHITECTURE_002:paramsub
cumulative_sws_degradation_rate.source,UNCLASSIFIED,1,CB_SLEEP_ARCHITECTURE_002:paramsub
cycle_amplification_factor,UNCLASSIFIED,1,T14:param
cycle_amplification_factor.derivation,UNCLASSIFIED,1,T14:paramsub
cycle_amplification_factor.saturation,UNCLASSIFIED,1,T14:paramsub
cycle_break_interventions,UNCLASSIFIED,1,T14:param
cycle_break_interventions.node_1_prevent_initial_failure,UNCLASSIFIED,1,T14:paramsub
cycle_break_interventions.node_2_interrupt_stress_escalation,PSYCH_COG,1,T14:paramsub
cycle_break_interventions.node_3_protect_cognitive_map,UNCLASSIFIED,1,T14:paramsub
daily_melanopic_integral_minimum,UNCLASSIFIED,1,CHRONO_LIGHT_ENTRAINMENT_001:param
daily_melanopic_integral_minimum.note,UNCLASSIFIED,1,CHRONO_LIGHT_ENTRAINMENT_001:paramsub
daily_melanopic_integral_minimum.source,UNCLASSIFIED,1,CHRONO_LIGHT_ENTRAINMENT_001:paramsub
dark_adapted,UNCLASSIFIED,1,L1:population_modifiers
dawn_dusk_ramp_circadian_value,NEURAL_PHYS,1,L5:param
dawn_dusk_ramp_circadian_value.note,NEURAL_PHYS,1,L5:paramsub
dawn_dusk_ramp_circadian_value.source,NEURAL_PHYS,1,L5:paramsub
daylight_multisystem_behavioral_effect_size,ENV_ARCH,1,L3:param
daylight_multisystem_behavioral_effect_size.note,ENV_ARCH,1,L3:paramsub
daylight_multisystem_behavioral_effect_size.population_modifiers,ENV_ARCH,1,L3:paramsub
daylight_multisystem_behavioral_effect_size.source,ENV_ARCH,1,L3:paramsub
decision_efficiency,UNCLASSIFIED,1,T37:causal
decision_point_stress_amplification,PSYCH_COG,1,T14:param
decision_point_stress_amplification.source,PSYCH_COG,1,T14:paramsub
default_mode_network_activity,UNCLASSIFIED,1,T4:causal
defensive_response,UNCLASSIFIED,1,TERRITORIAL_AFFORDANCE_SOCIAL_001:mech
degraded_sensory_input,UNCLASSIFIED,1,T40:causal
diffuse_social_PE_and_withdrawal,UNCLASSIFIED,1,SOC3:causal
directed_attention_fatigue,PSYCH_COG,2,DT2:causal; T4:causal
directed_attention_restoration,PSYCH_COG,1,VIEW1:mech
discrepancy_desired_vs_actual_accessibility,UNCLASSIFIED,1,SOC2:causal
discrimination_vs_generalization,UNCLASSIFIED,1,E2:causal
disease_states,UNCLASSIFIED,1,T29:causal
display_surface_density,UNCLASSIFIED,1,CREA4:causal
divergent_thinking,UNCLASSIFIED,1,T61:causal
dmn_ecn_coupling_flexibility,UNCLASSIFIED,1,CREA1:causal
dmn_re_engagement,PSYCH_COG,2,T10:causal; T16:causal
dmn_reengagement,PSYCH_COG,1,T27:causal
dmn_reengagement_conditions,PSYCH_COG,1,MS_CONSOLIDATION_RESTORATION_001:param
doorway_effect_magnitude_standard,UNCLASSIFIED,1,THRESHOLD_EPISODIC_BOUNDARY_001:param
doorway_effect_magnitude_standard.interpretation,UNCLASSIFIED,1,THRESHOLD_EPISODIC_BOUNDARY_001:paramsub
doorway_effect_magnitude_standard.source,UNCLASSIFIED,1,THRESHOLD_EPISODIC_BOUNDARY_001:paramsub
dose_response_prediction,PSYCH_COG,1,THRESHOLD_EPISODIC_BOUNDARY_001:param
dose_response_prediction.interpretation,PSYCH_COG,1,THRESHOLD_EPISODIC_BOUNDARY_001:paramsub
dwell_time_satisfaction,BEHAV_OUTCOME,1,T42:causal
early_musical_training,UNCLASSIFIED,1,M11:causal
early_visual_contour_PE_signal,UNCLASSIFIED,1,VF1:mech
edge_condition_social_quality_effect,UNCLASSIFIED,1,SC4:param
edge_condition_social_quality_effect.bridge_prior,UNCLASSIFIED,1,SC4:paramsub
edge_condition_social_quality_effect.central_estimate,UNCLASSIFIED,1,SC4:paramsub
edge_condition_social_quality_effect.construct,UNCLASSIFIED,1,SC4:paramsub
edge_condition_social_quality_effect.note,UNCLASSIFIED,1,SC4:paramsub
edge_sharpness,UNCLASSIFIED,1,PRIVACY_GRADIENT_REGULATION_001:param
edge_sharpness.bridge_type,UNCLASSIFIED,1,PRIVACY_GRADIENT_REGULATION_001:paramsub
edge_sharpness.regulation_effectiveness,UNCLASSIFIED,1,PRIVACY_GRADIENT_REGULATION_001:paramsub
edge_sharpness.sharp_edge,UNCLASSIFIED,1,PRIVACY_GRADIENT_REGULATION_001:paramsub
edge_sharpness.soft_edge,UNCLASSIFIED,1,PRIVACY_GRADIENT_REGULATION_001:paramsub
effect_magnitude,UNCLASSIFIED,2,AX10:causal; AX7:causal
effortful_retrieval,UNCLASSIFIED,1,E3:causal
elderly_65plus,POP_MOD,3,L1:population_modifiers; T1:population_modifiers; T2:population_modifiers
elderly_cognitive_decline,POP_MOD,1,PRIVACY_GRADIENT_REGULATION_001:population_modifiers
embodied_co_presence_experience,UNCLASSIFIED,1,CROSS_SOCIAL_MIRROR_PRESENCE_001:mech
emotional_arousal,UNCLASSIFIED,1,E1:causal
emotional_connection,UNCLASSIFIED,1,TP3:causal
empathic_affective_resonance,PSYCH_COG,1,T49:causal
enclosure_change_magnitude,UNCLASSIFIED,1,THRESHOLD_EPISODIC_BOUNDARY_001:param
enclosure_change_magnitude.interpretation,UNCLASSIFIED,1,THRESHOLD_EPISODIC_BOUNDARY_001:paramsub
enclosure_contour_interaction,UNCLASSIFIED,1,VF1:param
enclosure_contour_interaction.angular_enclosed_d,UNCLASSIFIED,1,VF1:paramsub
enclosure_contour_interaction.angular_open_d,UNCLASSIFIED,1,VF1:paramsub
enclosure_contour_interaction.curved_enclosed_d,UNCLASSIFIED,1,VF1:paramsub
enclosure_contour_interaction.curved_open_d,UNCLASSIFIED,1,VF1:paramsub
enclosure_contour_interaction.design_implication,UNCLASSIFIED,1,VF1:paramsub
enclosure_contour_interaction.model,UNCLASSIFIED,1,VF1:paramsub
enclosure_stress_threshold,PSYCH_COG,1,T6:param
enclosure_stress_threshold.r_h_ratio_critical,PSYCH_COG,1,T6:paramsub
enclosure_stress_threshold.r_h_ratio_marginal,PSYCH_COG,1,T6:paramsub
enclosure_stress_threshold.source,PSYCH_COG,1,T6:paramsub
enclosure_stress_threshold.stress_modifier_critical,PSYCH_COG,1,T6:paramsub
enclosure_stress_threshold.stress_modifier_marginal,PSYCH_COG,1,T6:paramsub
encoded_events,UNCLASSIFIED,1,T23:causal
encoding_and_reconsolidation_strength,PSYCH_COG,1,E6:causal
encoding_strength_boost_distinctive,PSYCH_COG,1,ED_HIPPOCAMPAL_ENCODING_001:param
encoding_strength_boost_distinctive.interpretation,PSYCH_COG,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
encounter_opportunity,BEHAV_OUTCOME,1,SPATIAL_SOCIAL_ENCOUNTER_001:mech
end_to_end_credence,UNCLASSIFIED,1,NM_OXYTOCIN_SOCIAL_003:param
end_to_end_credence.P_bridge,UNCLASSIFIED,1,NM_OXYTOCIN_SOCIAL_003:paramsub
end_to_end_credence.P_cnfa_specific,UNCLASSIFIED,1,NM_OXYTOCIN_SOCIAL_003:paramsub
end_to_end_credence.P_parent_theory,UNCLASSIFIED,1,NM_OXYTOCIN_SOCIAL_003:paramsub
end_to_end_credence.composite,UNCLASSIFIED,1,NM_OXYTOCIN_SOCIAL_003:paramsub
end_to_end_credence.note,UNCLASSIFIED,1,NM_OXYTOCIN_SOCIAL_003:paramsub
endogenous_OT_release,UNCLASSIFIED,1,NM_OXYTOCIN_SOCIAL_003:mech
enhanced_connectivity,UNCLASSIFIED,1,M11:causal
enhanced_cortical_precision,NEURAL_PHYS,1,T26:causal
enhanced_hippocampal_PE_encoding,NEURAL_PHYS,1,E4:causal
enhanced_hippocampal_plasticity,NEURAL_PHYS,1,T52:causal
enhanced_plasticity,UNCLASSIFIED,1,T52:causal
enhanced_restabilization,UNCLASSIFIED,1,E3:causal
enhanced_stress_reduction,PSYCH_COG,1,MAT4:causal
entry_into_social_space,UNCLASSIFIED,1,CROSS_SOCIAL_AFFORDANCE_READING_001:mech
environment_transition_restorative_to_focused,UNCLASSIFIED,1,T54:causal
environmental_awareness_type,UNCLASSIFIED,1,T46:causal
environmental_body_influence,UNCLASSIFIED,1,T12:causal
environmental_complexity,PSYCH_COG,1,MS2:causal
environmental_consistency_across_sessions,UNCLASSIFIED,1,SN_CONTEXT_MEMORY_002:architectural_modifier_coefficients
environmental_cue_redundancy,UNCLASSIFIED,1,T37:causal
environmental_cue_salience,PSYCH_COG,1,T42:causal
environmental_demand,UNCLASSIFIED,1,T59:causal
environmental_demand_cues,UNCLASSIFIED,1,IC2:causal
environmental_distinctiveness_threshold_elderly,POP_MOD,1,ED_HIPPOCAMPAL_ENCODING_001:param
environmental_distinctiveness_threshold_elderly.interpretation,POP_MOD,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
environmental_distinctiveness_threshold_young,UNCLASSIFIED,1,ED_HIPPOCAMPAL_ENCODING_001:param
environmental_distinctiveness_threshold_young.interpretation,UNCLASSIFIED,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
environmental_distraction,UNCLASSIFIED,1,DT2:causal
environmental_distraction_level,UNCLASSIFIED,1,T47:causal
environmental_effect_size,UNCLASSIFIED,1,AX8:causal
environmental_feature,UNCLASSIFIED,1,AX10:causal
environmental_features,UNCLASSIFIED,2,T20:causal; T9:causal
environmental_information_load,UNCLASSIFIED,1,T47:causal
environmental_interpretation,UNCLASSIFIED,1,AX9:causal
environmental_novelty,UNCLASSIFIED,2,NM2:causal; T11:causal
environmental_odor_molecules,UNCLASSIFIED,1,T53:causal
environmental_outcome,UNCLASSIFIED,1,T41:causal
environmental_predictability_thresholds,UNCLASSIFIED,1,T7:param
environmental_predictability_thresholds.acoustic,ENV_ARCH,1,T7:paramsub
environmental_predictability_thresholds.navigational,UNCLASSIFIED,1,T7:paramsub
environmental_predictability_thresholds.thermal,UNCLASSIFIED,1,T7:paramsub
environmental_safety_cues,UNCLASSIFIED,1,T65:causal
environmental_sensory_quality,UNCLASSIFIED,1,T42:causal
environmental_sensory_richness,UNCLASSIFIED,1,CREA1:causal
environmental_task_demand,UNCLASSIFIED,1,T36:causal
environmental_threat_cues,UNCLASSIFIED,1,T5:causal
environmental_transition_initiation,UNCLASSIFIED,1,CREA3:causal
environmental_trust_and_comfort,UNCLASSIFIED,1,MAT3:causal
environmental_volatility,UNCLASSIFIED,1,T43:causal
episodic_boundary_crossing,UNCLASSIFIED,1,TP2:causal
episodic_boundary_strength,UNCLASSIFIED,2,OLF1:causal; TP2:causal
episodic_to_semantic_transformation,UNCLASSIFIED,1,E5:causal
error_correction,UNCLASSIFIED,1,E6:causal
error_proneness,UNCLASSIFIED,1,T36:causal
evening_delay_contamination_threshold,UNCLASSIFIED,1,CHRONO_LIGHT_ENTRAINMENT_001:param
evening_delay_contamination_threshold.note,UNCLASSIFIED,1,CHRONO_LIGHT_ENTRAINMENT_001:paramsub
evening_delay_contamination_threshold.source,UNCLASSIFIED,1,CHRONO_LIGHT_ENTRAINMENT_001:paramsub
evening_melatonin_suppression_50pct_threshold,NEURAL_PHYS,1,CB_SLEEP_ARCHITECTURE_002:param
evening_melatonin_suppression_50pct_threshold.architectural_implication,ENV_ARCH,1,CB_SLEEP_ARCHITECTURE_002:paramsub
evening_melatonin_suppression_50pct_threshold.note,NEURAL_PHYS,1,CB_SLEEP_ARCHITECTURE_002:paramsub
evening_melatonin_suppression_50pct_threshold.population_modifiers,NEURAL_PHYS,1,CB_SLEEP_ARCHITECTURE_002:paramsub
evening_melatonin_suppression_50pct_threshold.source,NEURAL_PHYS,1,CB_SLEEP_ARCHITECTURE_002:paramsub
exit_high_demand_environment,UNCLASSIFIED,1,T16:causal
expanded_action_policy_space,UNCLASSIFIED,1,T21:causal
expected_free_energy,UNCLASSIFIED,2,PP4:causal; T21:causal
experience_depth,UNCLASSIFIED,1,TP4:causal
experience_with_prediction_error,PSYCH_COG,1,E1:causal
expert_appreciation_of_angular_form,UNCLASSIFIED,1,VF1:mech
expertise_rightward_shift,POP_MOD,1,T2:param
expertise_rightward_shift.central_value,POP_MOD,1,T2:paramsub
expertise_rightward_shift.source,POP_MOD,1,T2:paramsub
expertise_rightward_shift.warrant,POP_MOD,1,T2:paramsub
explicit_evaluation,UNCLASSIFIED,1,T9:causal
exploration_behavior,BEHAV_OUTCOME,1,NM2:causal
exploration_exploitation_balance,UNCLASSIFIED,1,T41:causal
exploratory_behavior_permission,BEHAV_OUTCOME,1,T66:causal
exposure_dose,UNCLASSIFIED,1,AX7:causal
exposure_duration,UNCLASSIFIED,2,AX11:causal; COL1:causal
exposure_habituation_function,UNCLASSIFIED,1,VF1:param
exposure_habituation_function.floor_factor,UNCLASSIFIED,1,VF1:paramsub
exposure_habituation_function.formula,UNCLASSIFIED,1,VF1:paramsub
exposure_habituation_function.interpretation,UNCLASSIFIED,1,VF1:paramsub
exposure_habituation_function.source,UNCLASSIFIED,1,VF1:paramsub
exposure_habituation_function.tau_days,UNCLASSIFIED,1,VF1:paramsub
exposure_habituation_function.tau_range_days,UNCLASSIFIED,1,VF1:paramsub
exposure_habituation_function.warrant,UNCLASSIFIED,1,VF1:paramsub
expressive_acoustic_features,ENV_ARCH,1,M3:causal
external_information,UNCLASSIFIED,1,T28:causal
external_monitoring_demand,UNCLASSIFIED,1,CREA2:causal
facade_material_continuity,ENV_ARCH,1,T1:architectural_modifier_coefficients
facade_silhouette,UNCLASSIFIED,1,T22:architectural_modifier_coefficients
familiar_landmark_preservation,UNCLASSIFIED,1,ED_RECONSOLIDATION_001:architectural_modifier_coefficients
familiar_musical_piece,UNCLASSIFIED,1,M5:causal
fast_heuristic_use,UNCLASSIFIED,1,T37:causal
feature_dimension_weights,UNCLASSIFIED,1,ED_HIPPOCAMPAL_ENCODING_001:param
feature_dimension_weights.acoustic_signature,ENV_ARCH,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
feature_dimension_weights.ceiling_height,ENV_ARCH,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
feature_dimension_weights.color_palette,ENV_ARCH,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
feature_dimension_weights.interpretation,UNCLASSIFIED,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
feature_dimension_weights.lighting_luminance,ENV_ARCH,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
feature_dimension_weights.material_texture,ENV_ARCH,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
feature_dimension_weights.olfactory_cue,UNCLASSIFIED,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
feature_dimension_weights.spatial_proportion,ENV_ARCH,1,ED_HIPPOCAMPAL_ENCODING_001:paramsub
feedback_during_reconsolidation_window,ENV_ARCH,1,E3:causal
felt_emotion,UNCLASSIFIED,5,M12:causal; M15:causal; M17:causal; M3:causal; M6:causal
first_impression_perseverance,UNCLASSIFIED,1,T22:mech
first_impression_perseverance_coefficient,UNCLASSIFIED,1,T22:param
first_impression_perseverance_coefficient.CI_95,UNCLASSIFIED,1,T22:paramsub
first_impression_perseverance_coefficient.central_value,UNCLASSIFIED,1,T22:paramsub
first_impression_perseverance_coefficient.notes,UNCLASSIFIED,1,T22:paramsub
first_impression_perseverance_coefficient.source,UNCLASSIFIED,1,T22:paramsub
first_impression_perseverance_coefficient.warrant,UNCLASSIFIED,1,T22:paramsub
first_visit_vs_repeat_visitor,UNCLASSIFIED,1,T22:population_modifiers
fluency_experience,UNCLASSIFIED,1,T67:causal
fractal_dimension_optimum,UNCLASSIFIED,1,T1:param
fractal_dimension_optimum.CI_95,UNCLASSIFIED,1,T1:paramsub
fractal_dimension_optimum.central_value,UNCLASSIFIED,1,T1:paramsub
fractal_dimension_optimum.notes,UNCLASSIFIED,1,T1:paramsub
fractal_dimension_optimum.source,UNCLASSIFIED,1,T1:paramsub
fractal_dimension_optimum.warrant,UNCLASSIFIED,1,T1:paramsub
freed_resources,UNCLASSIFIED,1,T28:causal
functional_triage,UNCLASSIFIED,1,T29:causal
furniture_orientation_and_distance,UNCLASSIFIED,1,SOC1:causal
future_trajectory,UNCLASSIFIED,1,T24:causal
gamma_burst_frequency,UNCLASSIFIED,1,T47:causal
general_cognitive_capacity,UNCLASSIFIED,1,T31:causal
generative_evaluative_phase_alternation,UNCLASSIFIED,1,CREA1:causal
generative_model_learning,UNCLASSIFIED,1,T15:causal
generative_model_quality,UNCLASSIFIED,1,T10:causal
glare_discomfort_and_avoidance,UNCLASSIFIED,1,L1:mech
glare_discomfort_threshold_DGP,UNCLASSIFIED,1,L1:param
glare_discomfort_threshold_DGP.central_value,UNCLASSIFIED,1,L1:paramsub
glare_discomfort_threshold_DGP.source,UNCLASSIFIED,1,L1:paramsub
glare_discomfort_threshold_DGP.warrant,UNCLASSIFIED,1,L1:paramsub
glazing_melanopic_transmittance_modifier,ENV_ARCH,1,L3:param
glazing_melanopic_transmittance_modifier.note,ENV_ARCH,1,L3:paramsub
glazing_melanopic_transmittance_modifier.source,ENV_ARCH,1,L3:paramsub
glazing_type,ENV_ARCH,1,VIEW1:architectural_modifier_coefficients
goal_forgetting,UNCLASSIFIED,1,T38:causal
goldilocks_zone_global_contrast_ratio,ENV_ARCH,1,L1:param
goldilocks_zone_global_contrast_ratio.CI_95_optimal,ENV_ARCH,1,L1:paramsub
goldilocks_zone_global_contrast_ratio.high_bound,ENV_ARCH,1,L1:paramsub
goldilocks_zone_global_contrast_ratio.low_bound,ENV_ARCH,1,L1:paramsub
goldilocks_zone_global_contrast_ratio.optimal,ENV_ARCH,1,L1:paramsub
goldilocks_zone_global_contrast_ratio.source,ENV_ARCH,1,L1:paramsub
goldilocks_zone_global_contrast_ratio.warrant,ENV_ARCH,1,L1:paramsub
greater_environmental_benefit,UNCLASSIFIED,1,T52:causal
groove_pleasure,UNCLASSIFIED,1,M9:causal
gsr_reduction_fractal_exposure,UNCLASSIFIED,1,T1:param
gsr_reduction_fractal_exposure.CI_95,UNCLASSIFIED,1,T1:paramsub
gsr_reduction_fractal_exposure.central_value,UNCLASSIFIED,1,T1:paramsub
gsr_reduction_fractal_exposure.source,UNCLASSIFIED,1,T1:paramsub
gsr_reduction_fractal_exposure.warrant,UNCLASSIFIED,1,T1:paramsub
haptic_sensory_input,UNCLASSIFIED,1,T34:causal
harmonic_expectation,UNCLASSIFIED,1,M4:causal
head_direction_updating,UNCLASSIFIED,1,SN2:causal
healthcare_patients,UNCLASSIFIED,1,VIEW1:population_modifiers
hedonic_impact_liking,UNCLASSIFIED,1,T42:causal
hedonic_valence,PSYCH_COG,1,T74:causal
heuristic_environment_fit,UNCLASSIFIED,1,T37:causal
hierarchical_depth_limit,ENV_ARCH,1,T38:causal
high_anxiety,UNCLASSIFIED,3,ED_PE_ENCODING_PRINCIPLE_001:population_modifiers; ED_RECONSOLIDATION_001:population_modifiers; T22:population_modifiers
high_arousal_state,UNCLASSIFIED,1,MS_RIPPLE_REPLAY_002:population_modifiers
high_asa_load,UNCLASSIFIED,1,T31:causal
high_cognitive_load,UNCLASSIFIED,1,T2:population_modifiers
high_cortisol_chronic,NEURAL_PHYS,2,ED_HIPPOCAMPAL_ENCODING_001:population_modifiers; ED_PATTERN_SEP_COMP_001:population_modifiers
high_stress_state,PSYCH_COG,1,T1:population_modifiers
high_unresolvable_PE,UNCLASSIFIED,1,T2:mech
higher_order_function,UNCLASSIFIED,1,T28:causal
hippocampal_context_representation,NEURAL_PHYS,1,T23:causal
hippocampal_cortical_replay,NEURAL_PHYS,1,T10:causal
hippocampal_cortical_transfer,NEURAL_PHYS,1,E5:causal
hippocampal_memory_retrieval,NEURAL_PHYS,1,T53:causal
hippocampal_novelty_signal,NEURAL_PHYS,1,T17:causal
hippocampal_relational_binding,NEURAL_PHYS,1,E1:causal
